Date	Hours	Phase	Topic	Description
2026-02-26	3	Pre-commit	Architecture	Platform boundaries; DI; core vs host vs nodes
2026-02-26	5	Pre-commit	Architecture	Execution model sketch; batch/item semantics (n8n-like)
2026-02-27	3.5	Pre-commit	Monorepo	Workspace layout: packages/core, host, nodes; public exports
2026-02-27	4	Pre-commit	Monorepo	tsconfig paths; pnpm/turbo; package boundaries
2026-02-28	5	Pre-commit	Engine	Workflow graph; item batching; node execution contract
2026-02-28	4	Pre-commit	Engine	Ports; triggers as item sources; deterministic execution rules
2026-03-01	4.5	Pre-commit	Engine	Builder DSL; runtime services; deep engine iteration
2026-03-01	3.5	Pre-commit	Engine	Merge semantics; errors/sealing; edge-case behaviour
2026-03-02	3	Pre-commit	Testing	Vitest strategy; split configs; minimal-mock testing policy
2026-03-02	4	Pre-commit	Testing	Callback-style test nodes; engine harness patterns
2026-03-03	4.5	Pre-commit	Product	Codemation host vs consumer app; framework-owned UI boundaries
2026-03-03	4	Pre-commit	Product	Configurable scheduler: goals, constraints, integration hooks
2026-03-04	5	Pre-commit	Framework spike	Next.js host attempt; routing/SSR friction; lessons captured
2026-03-04	4	Pre-commit	Framework spike	Next spike teardown; requirements for dev UX and gateway
2026-03-05	3.5	Pre-commit	Framework spike	TanStack Router + Vite spike; routing vs product fit
2026-03-05	4.5	Pre-commit	Framework spike	Abandon TanStack path; cost/benefit and migration risk
2026-03-06	4	Pre-commit	Framework spike	React Router v7 + Vite spike; dev/build workflow issues
2026-03-06	3.5	Pre-commit	Framework spike	Rollback RR7 path; consolidate what the host must own
2026-03-07	5	Pre-commit	Stabilization	Return to Next.js; CLI watcher for consumer rebuilds
2026-03-07	3	Pre-commit	Stabilization	Separate runtime process from Next; gateway/IPC boundaries
2026-03-08	6	Core + baseline	Initial commit	Core engine baseline; Vitest; ESLint/monorepo hygiene (first commit)
2026-03-08	4	Core + baseline	Initial commit	Align packages with pre-commit architecture after failed spikes
2026-03-09	4	Consumer DX	AI + UI	Typed AI merge; consumer dev UX (list/detail/canvas/executions)
2026-03-09	4	Consumer DX	AI + UI	Framework-owned dev surfaces vs thin consumer wiring
2026-03-10	3.5	Framework	Host UX	Move Codemation dev UX into framework packages
2026-03-10	3.5	Framework	Observability	Observable agent attachments; debugging UX
2026-03-11	3.5	Framework	Routing	Routing refactor; webhooks and HTTP routing capabilities
2026-03-11	3	Framework	Canvas	WorkflowCanvas viewport; layout; status and visibility
2026-03-11	3.5	Framework	Runtime	CLI + frontend runtime integration; polish pass
2026-03-12	4	Core + runtime	Tokens	tokenId/snapshots; streamlined runtime token decorators
2026-03-12	4	Core + runtime	Tokens	PersistedWorkflowResolver; runtime/agent invocation fixes
2026-03-12	3	Core + runtime	Realtime	Workflow detail realtime; inspector split; large test split
2026-03-13	5	Architecture refactor	Hexagonal / clean	Replace ad-hoc layering with DDD/CQRS-style boundaries
2026-03-13	4	Architecture refactor	Hexagonal / clean	Application vs infrastructure; dependency direction
2026-03-13	4	Architecture refactor	Hexagonal / clean	Refactor fallout: imports; module cohesion; consistency pass
2026-03-14	5	App	test-dev	test-dev app structure cleanup; dependency alignment
2026-03-15	5	Persistence	PostgreSQL	PostgreSQL-only persistence; Prisma schema and migrations strategy
2026-03-15	4	Persistence	PostgreSQL	Transaction-scoped tests; Vitest split (unit/integration/UI)
2026-03-16	8	Engine	Execution	Execution context and workflow topology refactor
2026-03-17	4.5	Product	Debugger	Workflow debugger overlay; manual reruns and stability
2026-03-17	3	Product	Runs	Coverage tooling; run-state race (persist vs socket) fixes
2026-03-17	2.5	Core + host	Attachments	Binary attachments; browser-safe exports; inspector split
2026-03-18	4.5	Engine	Triggers	Execute-first triggers; ItemsInputNormalizer; manual trigger UX
2026-03-18	3.5	Integration	Gmail	core-nodes-gmail; trigger setup state and Gmail workflows
2026-03-19	4.5	Credentials	Model	First-class credentials: slots, bindings, CRUD surfaces
2026-03-19	3.5	Credentials	OAuth	OAuth2 connect flow; Gmail OAuth type; hardened settings UI
2026-03-19	3	Framework	API	Stable Next host; Hono API behind Next catch-all; CLI alignment
2026-03-20	4	CLI + auth	CLI	Commander-based CLI: parsing, help, version
2026-03-20	2.5	CLI + auth	Auth	User management; dev workflow cleanup
2026-03-20	3.5	Tooling	Quality	ESLint/architecture cleanup; split large UI modules; logging DI; run list UX
2026-03-21	3.5	Framework	Host	Rename @codemation/frontend → @codemation/host; feature-based layout
2026-03-21	3.5	Framework	UI	Tailwind v4; shadcn bootstrap; CodemationApiClient (no raw fetch)
2026-03-21	3	Core + UX	Engine + UI	Engine layering and workflow ports; design-system pass on shell/CRUD
2026-03-22	6	Product	Discovery	Workflow discovery: path segments and folder navigation
2026-03-23	7	Runtime	Dev worker	runtime-dev worker; performance logging; workflow shell UX
2026-03-24	5	Framework	Engine	Engine resource limits; run wiring cleanup; webhook catalog matching
2026-03-24	4	Product	UX + E2E	Shareable workflow detail state; connection-scoped credentials; Playwright consumer/UI harness
2026-03-25	4.5	CLI + auth	CLI/Auth	Bootstrap user flow; admin session wiring; user list; CLI module split
2026-03-25	4	Integrations + scaffolding	Gmail/OpenAI	Gmail polling + Pub/Sub work; OpenAI credential DI; create-codemation scaffold; canvas UX
2026-03-26	5	Product	Workflows + credentials	Credential types; database persistence; workflow activation API; shell UX
2026-03-26	4	Tooling	Quality + E2E	Playwright/browser harness work; dev lifecycle fixes; CI/Prisma/pnpm10 hardening
2026-03-27	4	Core + host	Architecture + UI	Engine planning cleanup; consumer whitelabel branding in next-host
2026-03-27	4	Tooling	Testing + release	BullMQ Redis offload test stabilization; grouped test suites; npm publish metadata
2026-03-28	3.5	Core	Runtime	Runtime surface cleanup and dependency boundary simplification
2026-03-28	3.5	Core	Refactor	Continued runtime/engine cleanup across core execution surfaces
2026-03-29	4.5	Core + host	Bootstrap	Runtime boundary consolidation; config registration; bootstrap flow refactor
2026-03-29	3.5	Runtime	Dev reliability	Graceful runtime-dev shutdown; starter alignment; CI runtime pinning
2026-03-30	4	CLI + auth	Dev auth	Consumer .env AUTH_SECRET wiring; Next UI loopback/health-probe fixes
2026-03-30	4	Release	CI + onboarding	Template env tracking; Prisma-before-smokes; release validation hardening
2026-03-31	3.5	Framework	Runtime + bootstrap	In-process dev runtime; app container bootstrap simplification; queued scheduler cleanup
2026-03-31	3.5	Release + tests	Publishing + QA	Packaged onboarding stabilization; publish workflow fixes; WorkerRuntime and outcome-based coverage
2026-03-31	3	Docs + DX	Consumer docs	Consumer docs and smoother local startup/developer experience
2026-04-01	4	Docs + product	Docs + site	Carousel/analytics/content restructure; HTTP node output docs; invite UX
2026-04-01	3.5	Release + DX	PR/publish workflow	CONTRIBUTING + PR workflow; slimmer Husky; repo metadata/npm provenance; 0.0.12-0.0.14 release bumps
2026-04-01	3.5	AI + framework	AI/dev fixes	Node-backed AI tools; flexible messages; guardrails defaults; AIAgent docs follow-up; bootstrap/auth/workflow 404 fixes
2026-04-02	5	Framework	Plugin DX	Plugin development scaffold; runtime bootstrap refactor for plugins
2026-04-02	4	Runtime	Hot reload	Hot-swap updated runtime modules; packaged dev workflow hardening
2026-04-02	4	Tooling	CI + E2E	Scaffolded browser E2E stabilization; parallel coverage; Postgres/Redis in CI
2026-04-03	5	Release	Changesets	Changesets adoption; CI gate; pre-stable license; per-PR changeset requirement
2026-04-03	4	Release + CI	Release notes	Aggregate monorepo GitHub release notes; release tagging; changesets branch base
2026-04-03	4	Product + DX	Dev auth + reruns	Manual trigger reruns and empty branch resumes; scaffold agent guidance; Playwright auth cover
2026-04-04	4	Framework	Auth routes	Move browser auth to host-owned routes; harden redirects and cookies
2026-04-04	3	Framework	Scaffold auth	Keep scaffolded auth setup on local runtime; templating alignment
2026-04-05	4	Release + CI	npm chain	Chain npm publish + GitHub Release after Changesets tag push; v0.0.16/17 line
2026-04-05	3.5	Plugin (Odoo)	Bootstrap	Odoo credential type, query node, and sandbox workflow (first external plugin)
2026-04-06	4	Core + testing	WorkflowTestKit	@codemation/core/testing harness; real-engine kit for plugin/package authors
2026-04-06	3	CLI + host	Dev UX	Clearer CLI dev startup and Codemation URL banner; shared integration Postgres setup
2026-04-06	3	Plugin (Odoo)	CRUD nodes	Odoo CRUD nodes; call_kw; lib split; Changesets/release workflows + branch ruleset
2026-04-07	3.5	Host	Run persistence	Normalize run persistence and agent execution details
2026-04-07	3	Next-host	Historical runs	Tolerate partial historical run detail payloads; feature merge into main
2026-04-08	5	Engine	ItemNode	Per-item ItemNode execution with engine mapInput + Zod input validation
2026-04-08	4	Core-nodes	Split/Filter/Aggregate	Split/Filter/Aggregate nodes; AIAgent per-item mapping; merge planner fix
2026-04-08	4	Core + CI	defineNode + release	defineNode → executeOne (+ defineBatchNode); optional icon; merge-gate; OIDC publish
2026-04-09	4.5	Plugin (Odoo)	First release	First release-ready Odoo nodes and sandbox; v0.1.0 changeset and release docs
2026-04-09	3.5	Plugin (Odoo)	Release hardening	Plugin packaging polish; external plugin publish validation
2026-04-10	4	Engine	Multi-port outputs	Multi-port outputs on engine; Switch node; itemValue; plugin executeOne
2026-04-10	4	Workflow DSL	Route/merge/switch	DSL route/merge/switch; callback ports; execution tree fix
2026-04-11	4	Workflow DSL	DSL merge	DSL route/merge/switch PR integration; version packages across monorepo
2026-04-11	3.5	Plugin (Odoo)	0.4 + OIDC	Codemation 0.4-aligned Odoo plugin nodes; OIDC publish flow; sandbox DX
2026-04-12	3	Plugin (Gmail)	Packaging	Harden Gmail plugin packaging and OAuth surface
2026-04-12	3.5	CLI	Plugin discovery	Load discovered plugins from dist entries; dev vs packaged parity
2026-04-13	4	Plugin (Gmail)	Action nodes	Thin workflow action nodes for Gmail; client + OAuth scope test coverage
2026-04-13	4	Tooling	Release pipeline	Validate changeset frontmatter; allow deleted changesets in release commits; avoid version tag collisions
2026-04-13	3	Next-host + dev	Binaries + sandbox	Route live run binaries through run URLs; synthesize manual trigger previews; unblock plugin sandbox imports
2026-04-14	4.5	Core	Callable tools	Inline callable agent tools; keepBinaries for runnable outputs and mapData API
2026-04-14	4	Core-nodes	Structured output	Native structured output runner for AI agent; unify workflow().agent() messages (AgentMessageConfig + itemValue)
2026-04-14	3.5	Credentials	UX + Gmail scopes	Advanced fields; auto-test/bind; Gmail scopes; auto-bind on select; follow-up UX + tests
2026-04-15	5	Observability	OTel telemetry	OpenTelemetry-based run telemetry; decouple telemetry retention from runs
2026-04-15	4	Observability	Dashboard + inspector	Telemetry dashboard; telemetry-backed node inspector; client-safe API paths
2026-04-15	4	Core-nodes	DSL + binaries	Normalize fluent DSL callback context; itemExpr authoring ergonomics; preserve binaries for split/aggregate
2026-04-16	4.5	Observability	Dashboard triage	Expand dashboard filtering and triage; polish inspector interactions and resizing
2026-04-16	4	Agent + tooling	Tool-call repair	Repair malformed tool calls in-loop; avoid framework skill sync churn in CLI
2026-04-17	4	Observability	Cost tracking	Provider-native workflow cost tracking surfaced through telemetry dashboard
2026-04-17	3	Observability	Release	Package versioning for observability surface; dashboard/inspector consolidation
2026-04-18	4.5	Engine	Run isolation	Isolate connection invocations per run across reruns
2026-04-18	3.5	DI refactor	Singletons	Default container registrations to singletons; no-transient ESLint rule; conversions across packages
2026-04-21	5	AI SDK migration	Replace LangChain	Replace LangChain with Vercel AI SDK across agent stack (breaking change)
2026-04-21	5	AI SDK migration	Agent runtime	Re-wire agent runtime, tool invocation, and streaming onto AI SDK primitives
2026-04-22	4.5	AI SDK migration	Cleanup	Remove dead LangChain-era fallbacks from agent stack; tighten types on new runtime
2026-04-22	4	Next-host canvas	ELK layout	ELK-based async workflow layout; compound agent layout; overlap resolver removal
